query_number,query,results,status,exec_time_ms,enum_time_ms
1,"MATCH p=(:N{id:""N2997""})-[:E* ALL SHORTEST 1..2]->(:N{id:""N3000""}) RETURN p LIMIT 100000",2,OK,147,147
2,"MATCH p=(:N{id:""N2997""})-[:E* ALL SHORTEST 1..2]->(:N{id:""N3000""}) RETURN p LIMIT 100000",2,OK,8,8
3,"MATCH p=(:N{id:""N2994""})-[:E* ALL SHORTEST 1..4]->(:N{id:""N3000""}) RETURN p LIMIT 100000",4,OK,8,9
4,"MATCH p=(:N{id:""N2991""})-[:E* ALL SHORTEST 1..6]->(:N{id:""N3000""}) RETURN p LIMIT 100000",8,OK,10,12
5,"MATCH p=(:N{id:""N2988""})-[:E* ALL SHORTEST 1..8]->(:N{id:""N3000""}) RETURN p LIMIT 100000",16,OK,9,15
6,"MATCH p=(:N{id:""N2985""})-[:E* ALL SHORTEST 1..10]->(:N{id:""N3000""}) RETURN p LIMIT 100000",32,OK,7,22
7,"MATCH p=(:N{id:""N2982""})-[:E* ALL SHORTEST 1..12]->(:N{id:""N3000""}) RETURN p LIMIT 100000",64,OK,8,43
8,"MATCH p=(:N{id:""N2979""})-[:E* ALL SHORTEST 1..14]->(:N{id:""N3000""}) RETURN p LIMIT 100000",128,OK,10,88
9,"MATCH p=(:N{id:""N2976""})-[:E* ALL SHORTEST 1..16]->(:N{id:""N3000""}) RETURN p LIMIT 100000",256,OK,14,198
10,"MATCH p=(:N{id:""N2973""})-[:E* ALL SHORTEST 1..18]->(:N{id:""N3000""}) RETURN p LIMIT 100000",512,OK,33,442
11,"MATCH p=(:N{id:""N2970""})-[:E* ALL SHORTEST 1..20]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1024,OK,64,969
12,"MATCH p=(:N{id:""N2967""})-[:E* ALL SHORTEST 1..22]->(:N{id:""N3000""}) RETURN p LIMIT 100000",2048,OK,126,2106
13,"MATCH p=(:N{id:""N2964""})-[:E* ALL SHORTEST 1..24]->(:N{id:""N3000""}) RETURN p LIMIT 100000",4096,OK,154,4157
14,"MATCH p=(:N{id:""N2961""})-[:E* ALL SHORTEST 1..26]->(:N{id:""N3000""}) RETURN p LIMIT 100000",8192,OK,205,9066
15,"MATCH p=(:N{id:""N2958""})-[:E* ALL SHORTEST 1..28]->(:N{id:""N3000""}) RETURN p LIMIT 100000",16384,OK,332,19328
16,"MATCH p=(:N{id:""N2955""})-[:E* ALL SHORTEST 1..30]->(:N{id:""N3000""}) RETURN p LIMIT 100000",32768,OK,590,41886
