query_number,query,results,status,exec_time_ms,enum_time_ms
1,"MATCH p=(:N{id:""N2997""})-[:E*ALLSHORTEST 2 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",2,OK,155,157
2,"MATCH p=(:N{id:""N2997""})-[:E*ALLSHORTEST 2 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",2,OK,0,2
3,"MATCH p=(:N{id:""N2994""})-[:E*ALLSHORTEST 4 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",4,OK,2,4
4,"MATCH p=(:N{id:""N2991""})-[:E*ALLSHORTEST 6 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",8,OK,2,6
5,"MATCH p=(:N{id:""N2988""})-[:E*ALLSHORTEST 8 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",16,OK,1,12
6,"MATCH p=(:N{id:""N2985""})-[:E*ALLSHORTEST 10 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",32,OK,2,26
7,"MATCH p=(:N{id:""N2982""})-[:E*ALLSHORTEST 12 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",64,OK,2,56
8,"MATCH p=(:N{id:""N2979""})-[:E*ALLSHORTEST 14 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",128,OK,2,121
9,"MATCH p=(:N{id:""N2976""})-[:E*ALLSHORTEST 16 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",256,OK,6,272
10,"MATCH p=(:N{id:""N2973""})-[:E*ALLSHORTEST 18 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",512,OK,2,591
11,"MATCH p=(:N{id:""N2970""})-[:E*ALLSHORTEST 20 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1024,OK,2,1291
12,"MATCH p=(:N{id:""N2967""})-[:E*ALLSHORTEST 22 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",2048,OK,3,2811
13,"MATCH p=(:N{id:""N2964""})-[:E*ALLSHORTEST 24 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",4096,OK,2,6127
14,"MATCH p=(:N{id:""N2961""})-[:E*ALLSHORTEST 26 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",8192,OK,0,13070
15,"MATCH p=(:N{id:""N2958""})-[:E*ALLSHORTEST 28 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",16384,OK,0,28088
16,"MATCH p=(:N{id:""N2955""})-[:E*ALLSHORTEST 30 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",32768,OK,0,59915
17,"MATCH p=(:N{id:""N2952""})-[:E*ALLSHORTEST 32 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
18,"MATCH p=(:N{id:""N2949""})-[:E*ALLSHORTEST 34 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
19,"MATCH p=(:N{id:""N2946""})-[:E*ALLSHORTEST 36 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
20,"MATCH p=(:N{id:""N2943""})-[:E*ALLSHORTEST 38 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
21,"MATCH p=(:N{id:""N2940""})-[:E*ALLSHORTEST 40 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
22,"MATCH p=(:N{id:""N2937""})-[:E*ALLSHORTEST 42 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
