query_number,query,results,status,exec_time_ms,enum_time_ms
1,"MATCH p=allShortestPaths((:N{id:""N2997""})-[:E*1..2]->(:N{id:""N3000""})) RETURN p LIMIT 100000",2,OK,3241,3348
2,"MATCH p=allShortestPaths((:N{id:""N2997""})-[:E*1..2]->(:N{id:""N3000""})) RETURN p LIMIT 100000",2,OK,9,20
3,"MATCH p=allShortestPaths((:N{id:""N2994""})-[:E*1..4]->(:N{id:""N3000""})) RETURN p LIMIT 100000",4,OK,161,176
4,"MATCH p=allShortestPaths((:N{id:""N2991""})-[:E*1..6]->(:N{id:""N3000""})) RETURN p LIMIT 100000",8,OK,161,185
5,"MATCH p=allShortestPaths((:N{id:""N2988""})-[:E*1..8]->(:N{id:""N3000""})) RETURN p LIMIT 100000",16,OK,120,156
6,"MATCH p=allShortestPaths((:N{id:""N2985""})-[:E*1..10]->(:N{id:""N3000""})) RETURN p LIMIT 100000",32,OK,110,153
7,"MATCH p=allShortestPaths((:N{id:""N2982""})-[:E*1..12]->(:N{id:""N3000""})) RETURN p LIMIT 100000",64,OK,103,173
8,"MATCH p=allShortestPaths((:N{id:""N2979""})-[:E*1..14]->(:N{id:""N3000""})) RETURN p LIMIT 100000",128,OK,106,242
9,"MATCH p=allShortestPaths((:N{id:""N2976""})-[:E*1..16]->(:N{id:""N3000""})) RETURN p LIMIT 100000",256,OK,103,394
10,"MATCH p=allShortestPaths((:N{id:""N2973""})-[:E*1..18]->(:N{id:""N3000""})) RETURN p LIMIT 100000",512,OK,95,727
11,"MATCH p=allShortestPaths((:N{id:""N2970""})-[:E*1..20]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1024,OK,97,1448
12,"MATCH p=allShortestPaths((:N{id:""N2967""})-[:E*1..22]->(:N{id:""N3000""})) RETURN p LIMIT 100000",2048,OK,85,3029
13,"MATCH p=allShortestPaths((:N{id:""N2964""})-[:E*1..24]->(:N{id:""N3000""})) RETURN p LIMIT 100000",4096,OK,76,6492
14,"MATCH p=allShortestPaths((:N{id:""N2961""})-[:E*1..26]->(:N{id:""N3000""})) RETURN p LIMIT 100000",8192,OK,79,13784
15,"MATCH p=allShortestPaths((:N{id:""N2958""})-[:E*1..28]->(:N{id:""N3000""})) RETURN p LIMIT 100000",16384,OK,71,29435
16,"MATCH p=allShortestPaths((:N{id:""N2955""})-[:E*1..30]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
17,"MATCH p=allShortestPaths((:N{id:""N2952""})-[:E*1..32]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
18,"MATCH p=allShortestPaths((:N{id:""N2949""})-[:E*1..34]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
19,"MATCH p=allShortestPaths((:N{id:""N2946""})-[:E*1..36]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
20,"MATCH p=allShortestPaths((:N{id:""N2943""})-[:E*1..38]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
21,"MATCH p=allShortestPaths((:N{id:""N2940""})-[:E*1..40]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
22,"MATCH p=allShortestPaths((:N{id:""N2937""})-[:E*1..42]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
23,"MATCH p=allShortestPaths((:N{id:""N2934""})-[:E*1..44]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
24,"MATCH p=allShortestPaths((:N{id:""N2931""})-[:E*1..46]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
25,"MATCH p=allShortestPaths((:N{id:""N2928""})-[:E*1..48]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
26,"MATCH p=allShortestPaths((:N{id:""N2925""})-[:E*1..50]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
27,"MATCH p=allShortestPaths((:N{id:""N2922""})-[:E*1..52]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
28,"MATCH p=allShortestPaths((:N{id:""N2919""})-[:E*1..54]->(:N{id:""N3000""})) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
