query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH (N2997)=[ALL SHORTEST ?p :E{1..2}]=>(N3000) RETURN ?p LIMIT 100000,2,OK,35,35
2,MATCH (N2997)=[ALL SHORTEST ?p :E{1..2}]=>(N3000) RETURN ?p LIMIT 100000,2,OK,6,6
3,MATCH (N2994)=[ALL SHORTEST ?p :E{1..4}]=>(N3000) RETURN ?p LIMIT 100000,4,OK,5,5
4,MATCH (N2991)=[ALL SHORTEST ?p :E{1..6}]=>(N3000) RETURN ?p LIMIT 100000,8,OK,5,5
5,MATCH (N2988)=[ALL SHORTEST ?p :E{1..8}]=>(N3000) RETURN ?p LIMIT 100000,16,OK,5,5
6,MATCH (N2985)=[ALL SHORTEST ?p :E{1..10}]=>(N3000) RETURN ?p LIMIT 100000,32,OK,5,5
7,MATCH (N2982)=[ALL SHORTEST ?p :E{1..12}]=>(N3000) RETURN ?p LIMIT 100000,64,OK,5,5
8,MATCH (N2979)=[ALL SHORTEST ?p :E{1..14}]=>(N3000) RETURN ?p LIMIT 100000,128,OK,6,6
9,MATCH (N2976)=[ALL SHORTEST ?p :E{1..16}]=>(N3000) RETURN ?p LIMIT 100000,256,OK,7,7
10,MATCH (N2973)=[ALL SHORTEST ?p :E{1..18}]=>(N3000) RETURN ?p LIMIT 100000,512,OK,8,8
11,MATCH (N2970)=[ALL SHORTEST ?p :E{1..20}]=>(N3000) RETURN ?p LIMIT 100000,1024,OK,14,14
12,MATCH (N2967)=[ALL SHORTEST ?p :E{1..22}]=>(N3000) RETURN ?p LIMIT 100000,2048,OK,21,21
13,MATCH (N2964)=[ALL SHORTEST ?p :E{1..24}]=>(N3000) RETURN ?p LIMIT 100000,4096,OK,37,37
14,MATCH (N2961)=[ALL SHORTEST ?p :E{1..26}]=>(N3000) RETURN ?p LIMIT 100000,8192,OK,71,71
15,MATCH (N2958)=[ALL SHORTEST ?p :E{1..28}]=>(N3000) RETURN ?p LIMIT 100000,16384,OK,144,144
16,MATCH (N2955)=[ALL SHORTEST ?p :E{1..30}]=>(N3000) RETURN ?p LIMIT 100000,32768,OK,305,305
17,MATCH (N2952)=[ALL SHORTEST ?p :E{1..32}]=>(N3000) RETURN ?p LIMIT 100000,65536,OK,630,630
18,MATCH (N2949)=[ALL SHORTEST ?p :E{1..34}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1036,1036
19,MATCH (N2946)=[ALL SHORTEST ?p :E{1..36}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1071,1071
20,MATCH (N2943)=[ALL SHORTEST ?p :E{1..38}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1125,1125
21,MATCH (N2940)=[ALL SHORTEST ?p :E{1..40}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1175,1175
22,MATCH (N2937)=[ALL SHORTEST ?p :E{1..42}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1231,1231
23,MATCH (N2934)=[ALL SHORTEST ?p :E{1..44}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1313,1313
24,MATCH (N2931)=[ALL SHORTEST ?p :E{1..46}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1363,1363
25,MATCH (N2928)=[ALL SHORTEST ?p :E{1..48}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1420,1420
26,MATCH (N2925)=[ALL SHORTEST ?p :E{1..50}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1447,1447
27,MATCH (N2922)=[ALL SHORTEST ?p :E{1..52}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1519,1519
28,MATCH (N2919)=[ALL SHORTEST ?p :E{1..54}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1571,1571
29,MATCH (N2916)=[ALL SHORTEST ?p :E{1..56}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1612,1612
30,MATCH (N2913)=[ALL SHORTEST ?p :E{1..58}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1669,1669
31,MATCH (N2910)=[ALL SHORTEST ?p :E{1..60}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1745,1745
32,MATCH (N2907)=[ALL SHORTEST ?p :E{1..62}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1814,1814
33,MATCH (N2904)=[ALL SHORTEST ?p :E{1..64}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1845,1845
34,MATCH (N2901)=[ALL SHORTEST ?p :E{1..66}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1903,1903
35,MATCH (N2898)=[ALL SHORTEST ?p :E{1..68}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,1957,1957
36,MATCH (N2895)=[ALL SHORTEST ?p :E{1..70}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,2053,2053
37,MATCH (N2892)=[ALL SHORTEST ?p :E{1..72}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,2105,2105
38,MATCH (N2889)=[ALL SHORTEST ?p :E{1..74}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,2166,2166
39,MATCH (N2886)=[ALL SHORTEST ?p :E{1..76}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,2226,2226
40,MATCH (N2883)=[ALL SHORTEST ?p :E{1..78}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,2289,2289
41,MATCH (N2880)=[ALL SHORTEST ?p :E{1..80}]=>(N3000) RETURN ?p LIMIT 100000,100000,OK,2336,2336
