query_number,query,results,status,exec_time_ms,enum_time_ms
1,"MATCH p=(:N{id:""N2997""})-[:E*BFS 1..2]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,157,158
2,"MATCH p=(:N{id:""N2997""})-[:E*BFS 1..2]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,1,1
3,"MATCH p=(:N{id:""N2994""})-[:E*BFS 1..4]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,1
4,"MATCH p=(:N{id:""N2991""})-[:E*BFS 1..6]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,3
5,"MATCH p=(:N{id:""N2988""})-[:E*BFS 1..8]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,3,4
6,"MATCH p=(:N{id:""N2985""})-[:E*BFS 1..10]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,4
7,"MATCH p=(:N{id:""N2982""})-[:E*BFS 1..12]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,3
8,"MATCH p=(:N{id:""N2979""})-[:E*BFS 1..14]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,4
9,"MATCH p=(:N{id:""N2976""})-[:E*BFS 1..16]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,3,4
10,"MATCH p=(:N{id:""N2973""})-[:E*BFS 1..18]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,4
11,"MATCH p=(:N{id:""N2970""})-[:E*BFS 1..20]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,4
12,"MATCH p=(:N{id:""N2967""})-[:E*BFS 1..22]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,4
13,"MATCH p=(:N{id:""N2964""})-[:E*BFS 1..24]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,4
14,"MATCH p=(:N{id:""N2961""})-[:E*BFS 1..26]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,4
15,"MATCH p=(:N{id:""N2958""})-[:E*BFS 1..28]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,4
16,"MATCH p=(:N{id:""N2955""})-[:E*BFS 1..30]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,5
17,"MATCH p=(:N{id:""N2952""})-[:E*BFS 1..32]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,5
18,"MATCH p=(:N{id:""N2949""})-[:E*BFS 1..34]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,5
19,"MATCH p=(:N{id:""N2946""})-[:E*BFS 1..36]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,1,5
20,"MATCH p=(:N{id:""N2943""})-[:E*BFS 1..38]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,5
21,"MATCH p=(:N{id:""N2940""})-[:E*BFS 1..40]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,6
22,"MATCH p=(:N{id:""N2937""})-[:E*BFS 1..42]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,7
23,"MATCH p=(:N{id:""N2934""})-[:E*BFS 1..44]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,7
24,"MATCH p=(:N{id:""N2931""})-[:E*BFS 1..46]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,8
25,"MATCH p=(:N{id:""N2928""})-[:E*BFS 1..48]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,1,6
26,"MATCH p=(:N{id:""N2925""})-[:E*BFS 1..50]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,2,9
27,"MATCH p=(:N{id:""N2922""})-[:E*BFS 1..52]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,1,7
28,"MATCH p=(:N{id:""N2919""})-[:E*BFS 1..54]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,5
29,"MATCH p=(:N{id:""N2916""})-[:E*BFS 1..56]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,5
30,"MATCH p=(:N{id:""N2913""})-[:E*BFS 1..58]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,1,6
31,"MATCH p=(:N{id:""N2910""})-[:E*BFS 1..60]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,6
32,"MATCH p=(:N{id:""N2907""})-[:E*BFS 1..62]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,6
33,"MATCH p=(:N{id:""N2904""})-[:E*BFS 1..64]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,7
34,"MATCH p=(:N{id:""N2901""})-[:E*BFS 1..66]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,6
35,"MATCH p=(:N{id:""N2898""})-[:E*BFS 1..68]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,6
36,"MATCH p=(:N{id:""N2895""})-[:E*BFS 1..70]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,6
37,"MATCH p=(:N{id:""N2892""})-[:E*BFS 1..72]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,7
38,"MATCH p=(:N{id:""N2889""})-[:E*BFS 1..74]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,7
39,"MATCH p=(:N{id:""N2886""})-[:E*BFS 1..76]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,1,8
40,"MATCH p=(:N{id:""N2883""})-[:E*BFS 1..78]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,7
41,"MATCH p=(:N{id:""N2880""})-[:E*BFS 1..80]->(:N{id:""N3000""}) RETURN p LIMIT 100000",1,OK,0,8
