query_number,query,results,status,exec_time_ms,enum_time_ms
1,"MATCH p=shortestPath((:N{id:""N2997""})-[:E*1..2]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,3181,3326
2,"MATCH p=shortestPath((:N{id:""N2997""})-[:E*1..2]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,9,16
3,"MATCH p=shortestPath((:N{id:""N2994""})-[:E*1..4]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,155,164
4,"MATCH p=shortestPath((:N{id:""N2991""})-[:E*1..6]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,165,174
5,"MATCH p=shortestPath((:N{id:""N2988""})-[:E*1..8]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,119,129
6,"MATCH p=shortestPath((:N{id:""N2985""})-[:E*1..10]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,116,125
7,"MATCH p=shortestPath((:N{id:""N2982""})-[:E*1..12]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,106,116
8,"MATCH p=shortestPath((:N{id:""N2979""})-[:E*1..14]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,98,109
9,"MATCH p=shortestPath((:N{id:""N2976""})-[:E*1..16]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,99,110
10,"MATCH p=shortestPath((:N{id:""N2973""})-[:E*1..18]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,89,101
11,"MATCH p=shortestPath((:N{id:""N2970""})-[:E*1..20]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,86,97
12,"MATCH p=shortestPath((:N{id:""N2967""})-[:E*1..22]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,86,99
13,"MATCH p=shortestPath((:N{id:""N2964""})-[:E*1..24]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,80,91
14,"MATCH p=shortestPath((:N{id:""N2961""})-[:E*1..26]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,82,92
15,"MATCH p=shortestPath((:N{id:""N2958""})-[:E*1..28]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,75,85
16,"MATCH p=shortestPath((:N{id:""N2955""})-[:E*1..30]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,73,86
17,"MATCH p=shortestPath((:N{id:""N2952""})-[:E*1..32]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,77,89
18,"MATCH p=shortestPath((:N{id:""N2949""})-[:E*1..34]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,67,77
19,"MATCH p=shortestPath((:N{id:""N2946""})-[:E*1..36]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,70,80
20,"MATCH p=shortestPath((:N{id:""N2943""})-[:E*1..38]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,83,94
21,"MATCH p=shortestPath((:N{id:""N2940""})-[:E*1..40]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,85,97
22,"MATCH p=shortestPath((:N{id:""N2937""})-[:E*1..42]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,67,77
23,"MATCH p=shortestPath((:N{id:""N2934""})-[:E*1..44]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,71,80
24,"MATCH p=shortestPath((:N{id:""N2931""})-[:E*1..46]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,64,74
25,"MATCH p=shortestPath((:N{id:""N2928""})-[:E*1..48]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,66,76
26,"MATCH p=shortestPath((:N{id:""N2925""})-[:E*1..50]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,62,74
27,"MATCH p=shortestPath((:N{id:""N2922""})-[:E*1..52]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,157,166
28,"MATCH p=shortestPath((:N{id:""N2919""})-[:E*1..54]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,61,71
29,"MATCH p=shortestPath((:N{id:""N2916""})-[:E*1..56]->(:N{id:""N3000""})) RETURN p LIMIT 100000",1,OK,62,71
