query_number,query,results,status,exec_time_ms,enum_time_ms
1,MATCH (N2997)=[ANY TRAILS ?p :E{1..2}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,29,29
2,MATCH (N2997)=[ANY TRAILS ?p :E{1..2}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
3,MATCH (N2994)=[ANY TRAILS ?p :E{1..4}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
4,MATCH (N2991)=[ANY TRAILS ?p :E{1..6}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
5,MATCH (N2988)=[ANY TRAILS ?p :E{1..8}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
6,MATCH (N2985)=[ANY TRAILS ?p :E{1..10}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
7,MATCH (N2982)=[ANY TRAILS ?p :E{1..12}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
8,MATCH (N2979)=[ANY TRAILS ?p :E{1..14}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,5,5
9,MATCH (N2976)=[ANY TRAILS ?p :E{1..16}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
10,MATCH (N2973)=[ANY TRAILS ?p :E{1..18}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,6,6
11,MATCH (N2970)=[ANY TRAILS ?p :E{1..20}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,7,7
12,MATCH (N2967)=[ANY TRAILS ?p :E{1..22}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,7,7
13,MATCH (N2964)=[ANY TRAILS ?p :E{1..24}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,9,9
14,MATCH (N2961)=[ANY TRAILS ?p :E{1..26}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,11,11
15,MATCH (N2958)=[ANY TRAILS ?p :E{1..28}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,16,16
16,MATCH (N2955)=[ANY TRAILS ?p :E{1..30}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,29,29
17,MATCH (N2952)=[ANY TRAILS ?p :E{1..32}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,54,54
18,MATCH (N2949)=[ANY TRAILS ?p :E{1..34}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,112,112
19,MATCH (N2946)=[ANY TRAILS ?p :E{1..36}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,221,221
20,MATCH (N2943)=[ANY TRAILS ?p :E{1..38}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,473,473
21,MATCH (N2940)=[ANY TRAILS ?p :E{1..40}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,1007,1007
22,MATCH (N2937)=[ANY TRAILS ?p :E{1..42}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,2048,2048
23,MATCH (N2934)=[ANY TRAILS ?p :E{1..44}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,4254,4254
24,MATCH (N2931)=[ANY TRAILS ?p :E{1..46}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,9053,9053
25,MATCH (N2928)=[ANY TRAILS ?p :E{1..48}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,18420,18420
26,MATCH (N2925)=[ANY TRAILS ?p :E{1..50}]=>(N3000) RETURN ?p LIMIT 100000,1,OK,38875,38875
27,MATCH (N2922)=[ANY TRAILS ?p :E{1..52}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
28,MATCH (N2919)=[ANY TRAILS ?p :E{1..54}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
29,MATCH (N2916)=[ANY TRAILS ?p :E{1..56}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
30,MATCH (N2913)=[ANY TRAILS ?p :E{1..58}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
31,MATCH (N2910)=[ANY TRAILS ?p :E{1..60}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
32,MATCH (N2907)=[ANY TRAILS ?p :E{1..62}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
33,MATCH (N2904)=[ANY TRAILS ?p :E{1..64}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
34,MATCH (N2901)=[ANY TRAILS ?p :E{1..66}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
35,MATCH (N2898)=[ANY TRAILS ?p :E{1..68}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
36,MATCH (N2895)=[ANY TRAILS ?p :E{1..70}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
37,MATCH (N2892)=[ANY TRAILS ?p :E{1..72}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
38,MATCH (N2889)=[ANY TRAILS ?p :E{1..74}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
39,MATCH (N2886)=[ANY TRAILS ?p :E{1..76}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
40,MATCH (N2883)=[ANY TRAILS ?p :E{1..78}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
41,MATCH (N2880)=[ANY TRAILS ?p :E{1..80}]=>(N3000) RETURN ?p LIMIT 100000,0,TIMEOUT,-1,-1
