query_number,query,results,status,exec_time_ms,enum_time_ms
6,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,29,29
17,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,438,OK,79,79
28,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,20017,OK,1870,1870
39,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,4282,4282
50,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,268,268
61,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,266,266
72,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,267,267
83,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,269,269
94,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,266,266
105,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,266,266
116,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,273,273
127,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,270,270
138,MATCH (P696585)=[ALL SHORTEST ?p :Knows{1..13}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,270,270
