query_number,query,results,status,exec_time_ms,enum_time_ms
6,"MATCH p=(:Person{id:""696585""})-[:Knows*1..1]->(n) RETURN p LIMIT 100000",11,OK,425,425
17,"MATCH p=(:Person{id:""696585""})-[:Knows*1..2]->(n) RETURN p LIMIT 100000",459,OK,232,232
28,"MATCH p=(:Person{id:""696585""})-[:Knows*1..3]->(n) RETURN p LIMIT 100000",23558,OK,11556,11556
39,"MATCH p=(:Person{id:""696585""})-[:Knows*1..4]->(n) RETURN p LIMIT 100000",100000,OK,60000,60000
50,"MATCH p=(:Person{id:""696585""})-[:Knows*1..5]->(n) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
61,"MATCH p=(:Person{id:""696585""})-[:Knows*1..6]->(n) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
72,"MATCH p=(:Person{id:""696585""})-[:Knows*1..7]->(n) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
83,"MATCH p=(:Person{id:""696585""})-[:Knows*1..8]->(n) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
94,"MATCH p=(:Person{id:""696585""})-[:Knows*1..9]->(n) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
105,"MATCH p=(:Person{id:""696585""})-[:Knows*1..10]->(n) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
116,"MATCH p=(:Person{id:""696585""})-[:Knows*1..11]->(n) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
127,"MATCH p=(:Person{id:""696585""})-[:Knows*1..12]->(n) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
