query_number,query,results,status,exec_time_ms,enum_time_ms
6,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,9,9
17,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,459,OK,17,17
28,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,23558,OK,59,59
39,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,258,258
50,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,249,249
61,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,247,247
72,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,244,244
83,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,251,251
94,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,243,243
105,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,244,244
116,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,250,250
127,MATCH (P696585)=[ALL TRAILS ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,250,250
