query_number,query,results,status,exec_time_ms,enum_time_ms
6,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..1]->(n) RETURN p LIMIT 100000",11,OK,88,89
17,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..2]->(n) RETURN p LIMIT 100000",384,OK,1119,1166
28,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..3]->(n) RETURN p LIMIT 100000",12347,OK,235,2344
39,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..4]->(n) RETURN p LIMIT 100000",100000,OK,2415,23780
50,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..5]->(n) RETURN p LIMIT 100000",100000,OK,12836,36899
61,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..6]->(n) RETURN p LIMIT 100000",100000,OK,21107,45272
72,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..7]->(n) RETURN p LIMIT 100000",100000,OK,23502,47398
83,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..8]->(n) RETURN p LIMIT 100000",100000,OK,22387,46601
94,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..9]->(n) RETURN p LIMIT 100000",100000,OK,22920,47183
105,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..10]->(n) RETURN p LIMIT 100000",100000,OK,23083,47222
116,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..11]->(n) RETURN p LIMIT 100000",100000,OK,23186,47405
127,"MATCH p=(:Person{id:""696585""})-[:Knows* SHORTEST 1..12]->(n) RETURN p LIMIT 100000",100000,OK,24098,48207
