query_number,query,results,status,exec_time_ms,enum_time_ms
6,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..1]->(n) RETURN p LIMIT 100000",11,OK,0,3
17,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..2]->(n) RETURN p LIMIT 100000",384,OK,0,95
28,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..3]->(n) RETURN p LIMIT 100000",12347,OK,2,4060
39,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..4]->(n) RETURN p LIMIT 100000",100000,OK,0,36468
50,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..5]->(n) RETURN p LIMIT 100000",100000,OK,0,37349
61,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..6]->(n) RETURN p LIMIT 100000",100000,OK,0,37788
72,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..7]->(n) RETURN p LIMIT 100000",100000,OK,1,37417
83,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..8]->(n) RETURN p LIMIT 100000",100000,OK,0,37134
94,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..9]->(n) RETURN p LIMIT 100000",100000,OK,1,37368
105,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..10]->(n) RETURN p LIMIT 100000",100000,OK,1,37122
116,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..11]->(n) RETURN p LIMIT 100000",100000,OK,1,37253
127,"MATCH p=(:Person{id:""696585""})-[:Knows*BFS 1..12]->(n) RETURN p LIMIT 100000",100000,OK,0,37237
