query_number,query,results,status,exec_time_ms,enum_time_ms
6,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..1}]=>(?n) RETURN ?p LIMIT 100000,11,OK,20,20
17,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..2}]=>(?n) RETURN ?p LIMIT 100000,385,OK,71,71
28,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..3}]=>(?n) RETURN ?p LIMIT 100000,12348,OK,1721,1721
39,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..4}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,11064,11064
50,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..5}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,302,302
61,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..6}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,300,300
72,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..7}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,297,297
83,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..8}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,294,294
94,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..9}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,296,296
105,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..10}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,298,298
116,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..11}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,303,303
127,MATCH (P696585)=[ANY SHORTEST ?p :Knows{1..12}]=>(?n) RETURN ?p LIMIT 100000,100000,OK,299,299
