query_number,query,results,status,exec_time_ms,enum_time_ms
2,MATCH (P696585)=[:Knows{1..1}]=>(?n) RETURN ?n LIMIT 100000,11,OK,5,5
3,MATCH (P696585)=[:Knows{1..2}]=>(?n) RETURN ?n LIMIT 100000,385,OK,5,5
4,MATCH (P696585)=[:Knows{1..3}]=>(?n) RETURN ?n LIMIT 100000,12348,OK,13,13
5,MATCH (P696585)=[:Knows{1..4}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,84,84
6,MATCH (P696585)=[:Knows{1..5}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,87,87
7,MATCH (P696585)=[:Knows{1..6}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,86,86
8,MATCH (P696585)=[:Knows{1..7}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,84,84
9,MATCH (P696585)=[:Knows{1..8}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,86,86
10,MATCH (P696585)=[:Knows{1..9}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,86,86
11,MATCH (P696585)=[:Knows{1..10}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,84,84
12,MATCH (P696585)=[:Knows{1..11}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,86,86
13,MATCH (P696585)=[:Knows{1..12}]=>(?n) RETURN ?n LIMIT 100000,100000,OK,85,85
