query_number,results,status,time,mem[kB]
1,6,OK,175,9651084
2,21,OK,157,9714808
3,20,OK,99,9735532
4,39,OK,9,9741676
5,41,OK,7,9741676
6,40,OK,6,9741676
7,71,OK,229,9842432
8,7,OK,95,9859052
9,6,OK,50,9871580
10,44,OK,64,9896304
11,100000,OK,265,10103036
12,6,OK,77,10103036
13,6,OK,66,10103036
14,6,OK,42,10103036
15,6,OK,44,10103036
16,6,OK,47,10105344
17,6,OK,26,10105344
18,6,OK,49,10107392
19,6,OK,54,10107392
20,6,OK,33,10107392
21,8,OK,46,10107392
22,7,OK,43,10107392
23,5,OK,50,10107392
24,104,OK,138,10108180
25,9,OK,12,10108180
26,8,OK,47,10108180
27,4,OK,32,10108180
28,5,OK,69,10108180
29,5,OK,23,10108180
30,1,OK,6,10108180
31,6,OK,37,10108180
32,3,OK,48,10110228
33,5,OK,48,10110228
34,21,OK,52,10110228
35,9,OK,39,10110228
36,6,OK,43,10110228
37,6,OK,23,10110228
38,278,TIMEOUT,60000,14328520
39,5,OK,69,14328520
40,6,OK,74,14328520
41,7,OK,15,14328520
42,5,OK,28,14328520
43,7,OK,56,14328520
44,7,OK,63,14328520
45,7,OK,50,14328520
46,7,OK,17,14330568
47,7,OK,37,14330568
48,7,OK,49,14330568
49,4,OK,59,14330568
50,4,OK,23,14330568
51,4,OK,40,14330568
52,4,OK,50,14330568
53,4,OK,10,14330568
54,4,OK,15,14330568
55,4,OK,39,14330568
56,4,OK,17,14330568
57,4,OK,22,14330568
58,21,OK,36,14330568
59,18,OK,6,14330568
60,21,OK,6,14330568
61,20,OK,12,14330568
62,100000,OK,4924,14542700
63,0,TIMEOUT,60000,20101240
64,160,OK,136,20101240
65,6,OK,28,20101240
66,6,OK,7,20101240
67,100000,OK,2221,20126036
68,4,OK,90,20126036
69,4,OK,60,20126036
70,4,OK,55,20126036
71,2,OK,61,20126036
72,72898,TIMEOUT,60000,23859744
73,40,OK,48,23859744
74,7,OK,50,23859744
75,6,OK,35,23859744
76,6,OK,51,23859744
77,6,OK,55,23859744
78,6,OK,58,23859744
79,5,OK,41,23859744
80,5,OK,16,23859744
81,0,OK,631,23868316
82,22,OK,42,23868316
83,5,OK,30,23868316
84,38,OK,53,23868316
85,7,OK,27,23868316
86,7,OK,6,23868316
87,5,OK,24,23868316
88,5,OK,5,23868316
89,7,OK,20,23868316
90,6,OK,22,23868316
91,1,OK,6,23868316
92,6,OK,62,23868316
93,34,OK,77,23868316
94,34,OK,6,23868316
95,24,OK,5,23868316
96,5,OK,26,23868316
97,1,OK,100,23868316
98,1,OK,5,23868316
99,4,OK,51,23868316
100,60,OK,34,23868316
101,18,OK,45,23868316
102,94752,TIMEOUT,60000,28655532
103,5,OK,43,28655532
104,0,OK,61,28655532
105,0,OK,5,28655532
106,22,OK,23,28655532
107,5,OK,61,28655532
108,89,OK,32,28655532
109,5,OK,32,28655532
110,3,OK,36,28655532
111,6,OK,25,28655532
112,5,OK,34,28655532
113,5,OK,6,28655532
115,23662,OK,15799,28703536
116,100000,OK,3196,28734992
117,0,OK,44275,29212248
118,0,TIMEOUT,60000,33209452
119,100000,OK,761,33236076
120,100000,OK,402,33245968
121,100000,OK,3417,33288164
122,0,OK,24615,33320428
123,3,TIMEOUT,60000,37084388
124,100000,OK,436,37096324
125,29368,OK,1196,37098372
126,100000,OK,123,37098372
127,100000,OK,154,37108264
128,276,OK,189,37110312
129,100000,OK,5790,37131756
130,50292,OK,4111,37145668
131,100000,OK,2349,37213124
132,100000,OK,227,37220776
133,100000,OK,259,37220776
134,100000,OK,15737,37257640
135,100000,OK,1335,37298872
136,100000,OK,232,37309988
137,100000,OK,138,37317244
138,79908,OK,2268,37339140
139,25297,OK,1802,36702796
140,100000,OK,2591,36718556
141,100000,OK,314,36722652
142,100000,OK,607,36727532
143,39291,OK,716,36731628
144,100000,OK,968,36737772
145,6185,OK,780,36737772
146,41939,OK,1828,36698492
147,2276,OK,465,36701064
148,18813,OK,1128,36706268
149,49545,OK,101,36708316
150,57855,OK,118,36713528
151,100000,OK,1873,36740152
152,100000,OK,122,36740152
153,100000,OK,4733,36742200
154,100000,OK,138,36667840
155,100000,OK,415,36667840
156,100000,OK,254,36674884
157,100000,OK,297,36684384
158,523,OK,552,36684384
159,260,OK,163,36684384
160,11733,OK,3014,36690528
161,100000,OK,2390,36702400
162,100000,OK,228,36704448
163,12121,OK,621,36706496
164,20,OK,59,36706496
165,10,OK,11,36706496
166,1653,OK,410,36706496
167,3,OK,19,36706496
168,100000,OK,212,36717904
169,100000,OK,6372,36732612
170,100000,OK,1773,36736708
171,24642,OK,455,36738756
172,46,OK,29,36738756
173,2075,OK,33,36739016
174,4287,OK,194,36739016
175,6,OK,33,36739016
176,20,OK,26,36739016
177,1,OK,6,36739016
178,5478,OK,80,36739016
179,15221,OK,1926,36743112
180,7,OK,6,36743112
181,11007,OK,41,36743112
182,100000,OK,107,36750960
183,100000,OK,123,36751488
184,100000,OK,185,36751488
185,100000,OK,96,36751488
186,100000,OK,193,36752280
187,25,OK,7,36752280
188,100000,OK,756,36752280
189,100000,OK,408,36754128
190,520,OK,10,36754128
191,100000,OK,103,36754128
192,7752,OK,20,36754128
193,100000,OK,97,36754128
194,64104,OK,299,36754128
195,100000,OK,102,36754128
196,100000,OK,209,36754128
197,100000,OK,381,36754128
198,13861,OK,34,36754128
199,9108,OK,41,36754128
200,100000,OK,3637,37160668
201,0,TIMEOUT,60000,37366460
202,100000,OK,399,37367516
203,100000,OK,3474,37777820
204,754,OK,58,37777820
205,100000,OK,145,37777820
206,100000,OK,250,37778612
207,100000,OK,197,37778612
208,0,TIMEOUT,60000,37822032
209,14547,OK,885,37824080
210,3024,OK,633,36505724
211,100000,OK,424,36511868
212,100000,OK,39350,36554876
213,661,TIMEOUT,60000,47730140
214,100000,OK,133,47734236
215,100000,OK,342,47734236
216,153,OK,48,47734236
217,100000,OK,134,47736284
218,100000,OK,190,47740380
219,44951,OK,682,47746524
220,100000,OK,143,47748572
221,100000,OK,176,47758112
222,0,OK,37,47758112
223,100000,OK,131,47762268
224,100000,OK,220,47766364
225,100000,OK,193,47774148
226,100000,OK,147,47778244
227,100000,OK,248,47780292
228,100000,OK,166,47780292
229,100000,OK,210,47784388
230,10636,OK,48,47784388
231,100000,OK,112,47784388
232,100000,OK,604,47784388
233,100000,OK,196,47786436
234,100000,OK,188,47786436
235,10702,OK,303,47786436
236,1583,OK,93,47786436
237,2143,OK,123,47788484
238,903,OK,9,47788484
239,1174,OK,52,47788484
240,23397,OK,865,47761068
241,40317,OK,1258,47763116
242,58779,OK,1343,47767212
243,100000,OK,610,47769260
244,3462,OK,216,47771308
245,2692,OK,93,47771308
246,100000,OK,597,47773356
247,82675,OK,1026,47777512
248,31560,OK,455,47779560
249,100000,OK,257,47780616
250,100000,OK,367,47784712
251,6973,OK,142,47784712
252,267,OK,17,47784712
253,100000,OK,189,47784712
254,40625,OK,519,47786760
255,17210,OK,266,47786760
256,100000,OK,1018,47788808
257,100000,OK,817,47792904
258,328,OK,32,47792904
259,100000,OK,275,47797000
260,59301,OK,441,47799048
261,853,OK,37,47799048
262,791,OK,7,47799048
263,5480,OK,102,47799048
264,17863,OK,639,47801096
265,100000,OK,919,47803144
266,100000,OK,161,47803144
267,1994,OK,61,47803144
268,42,OK,6,47803144
269,1829,OK,10,47803144
270,415,OK,22,47803144
271,861,OK,20,47803144
272,570,OK,7,47803144
273,14545,OK,28,47803144
274,6039,OK,106,47803144
275,100000,OK,408,47807240
276,100000,OK,448,47809288
277,6183,OK,98,47809288
278,10724,OK,198,47809288
279,3665,OK,107,47809288
280,1514,OK,84,47809288
281,8921,OK,230,47811336
282,17740,OK,266,47811336
283,4907,OK,120,47811336
284,134,OK,6,47811336
285,9275,OK,160,47813384
286,21529,OK,298,47813384
287,2356,OK,65,47813384
288,24273,OK,60,47813384
289,3353,OK,46,47813384
290,100000,OK,232,47813384
291,58778,OK,176,47813384
292,6775,OK,25,47813384
293,7571,OK,145,47813384
294,3461,OK,16,47813384
295,31559,OK,74,47813384
296,100000,OK,249,47813384
297,1783,OK,47,47813384
298,12120,OK,25,47813384
299,8572,OK,118,47815432
300,90155,OK,390,47817480
301,12388,OK,101,47817480
302,100000,OK,183,47817480
303,1591,OK,9,47817480
304,100000,OK,859,47821576
305,24272,OK,59,47822888
306,51044,OK,248,47822888
307,47,OK,55875,48390184
308,100000,OK,135,48390184
309,42867,OK,479,48390184
310,90155,OK,197,48390184
311,100000,OK,196,48390184
312,59300,OK,162,48390184
313,100000,OK,540,48392232
314,100000,OK,755,48408616
315,100000,OK,702,48415340
316,2691,OK,12,48415340
317,100000,OK,168,48415340
318,8199,OK,198,48425580
319,100000,OK,1109,48437868
320,1,OK,45,48437868
321,100000,OK,242,48441964
322,100000,OK,889,48450412
323,130,OK,36,48450412
324,966,OK,46,48450412
325,100000,OK,1997,48462700
326,107,OK,27,48462700
327,316,OK,69,48462700
328,1051,OK,32,48462700
329,383,OK,10,48462700
330,116,OK,37,48462700
331,997,OK,66,48464748
332,206,OK,37,48464748
333,96,OK,8,48464748
334,100000,OK,1043,48470892
335,1142,OK,71,48470892
336,409,OK,9,48470892
337,268,OK,80,48470892
338,100000,OK,434,48470892
339,100000,OK,767,48479584
340,235,OK,12,48479584
341,100000,OK,2738,48483680
342,32178,OK,736,48485728
343,13630,OK,76,48485728
344,3183,OK,20,48485728
345,30912,OK,1910,48528604
346,100000,OK,463,48534932
347,100000,OK,580,48557424
348,75,OK,7,48557424
349,100000,OK,425,48561520
350,100000,OK,101,48561520
351,100000,OK,107,48561520
352,100000,OK,185,48561520
353,100000,OK,105,48563568
354,100000,OK,107,48563568
355,100000,OK,103,48563568
356,100000,OK,194,48565616
357,100000,OK,147,48569712
358,100000,OK,297,48569712
359,201,OK,480,48571760
360,10089,OK,807,48573808
361,15467,OK,883,48579952
362,1710,OK,89,48579952
363,100000,OK,4425,48608624
364,100000,OK,314,48612720
365,53,OK,140,48612720
366,7555,TIMEOUT,60000,68725516
367,642,OK,9,68725516
368,6135,OK,29,68725516
369,100000,OK,378,68725516
370,6250,OK,53,68725516
371,52820,OK,678,68749992
372,260,OK,8,68749992
373,100000,OK,301,68749992
374,807,OK,45,68066416
375,270,OK,7,68066416
376,925,OK,9,68066416
377,13,OK,29,68066416
378,59,OK,12,68066416
379,302,OK,7,68066416
380,100000,OK,244,68066416
381,319,OK,8,68066416
382,925,OK,29,68066416
383,59,OK,6,68066416
384,544,OK,7,68066416
385,1133,OK,10,68066416
386,422,OK,26,68066416
387,31220,OK,179,68066416
388,77661,OK,394,68066416
389,4181,OK,45,68066416
390,229,OK,7,68066416
391,4922,OK,23,68066416
392,100000,OK,311,68066416
393,138,OK,8,68066416
394,100000,OK,271,68066416
395,100000,OK,339,68067464
396,179,OK,9,68067464
397,7102,OK,35,68067464
398,3782,OK,19,68067464
399,37493,OK,231,68067464
400,10473,OK,58,68067464
401,501,OK,8,68067464
402,27,OK,6,68067464
403,14198,OK,71,68067464
404,2583,OK,20,68067464
405,100000,OK,122,68067464
406,100000,OK,779,68067464
407,796,OK,11,68067464
408,100000,OK,388,68024304
409,61731,OK,189,68024304
410,27796,OK,153,68024304
411,100000,OK,312,68024304
412,2082,OK,16,68024304
413,100000,OK,344,68024304
414,709,OK,10,68024304
415,37492,OK,231,68024304
416,100000,OK,333,68024304
417,4159,OK,27,68024304
418,732,OK,9,68024304
419,21,TIMEOUT,60000,68024304
420,100000,OK,815,68024304
421,100000,OK,291,68024304
422,100000,OK,203,68024304
423,26821,OK,331,68024304
424,78703,OK,1258,68038396
425,38729,OK,70,68040444
426,24605,OK,60,68040444
427,100000,OK,141,68040444
428,100000,OK,107,68040444
429,227,OK,19,68040444
430,6997,OK,31,68040444
431,0,OK,30,68040444
432,100000,OK,126,68040444
433,121,OK,25,68040444
434,10807,OK,30,68040444
435,40629,OK,76,68040444
436,13703,OK,33,68040444
437,14188,OK,32,68040444
438,15692,OK,29,68040444
439,100000,OK,123,68040444
440,40276,OK,75,68040444
441,9306,OK,24,68040444
442,33,OK,6,68040444
443,100000,OK,94,68040444
444,224,OK,7,68040444
445,100000,OK,135,68040444
446,0,OK,24,68040444
447,100000,OK,255,68040444
448,100000,OK,149,68040444
449,100000,OK,130,68040444
450,100000,OK,137,68040444
451,100000,OK,253,68040444
452,100000,OK,119,68040444
453,100000,OK,141,68040444
454,100000,OK,185,68040444
455,627,OK,8,68040444
456,6663,OK,47,68040444
457,54503,OK,75,68040444
458,100000,OK,107,68040444
459,100000,OK,145,68040444
460,59596,OK,149,68040444
461,100000,OK,131,68040444
462,100000,OK,155,68040444
463,100000,OK,306,68040444
464,100000,OK,148,68040444
465,256,OK,67,68040444
466,5947,OK,19,68040444
467,45072,OK,73,68040444
468,75704,OK,85,68040444
469,25341,OK,41,68040444
470,100000,OK,245,68040444
471,19764,OK,28,68040444
472,100000,OK,111,68040444
473,100000,OK,169,68040444
474,4,OK,34,68040444
475,100000,OK,177,68040444
476,3868,OK,47,68040444
477,100000,OK,283,68040444
478,7097,OK,40,68040444
479,100000,OK,171,68040444
480,100000,OK,156,68040444
481,0,OK,30,68040444
482,15680,OK,34,68040444
483,100000,OK,178,68040444
484,34,OK,7,68040444
485,15658,OK,69,68040444
486,100000,OK,103,68040444
487,100000,OK,171,68040444
488,100000,OK,218,68040444
489,46737,OK,82,68040444
490,100000,OK,122,68040444
491,100000,OK,167,68040444
492,22601,OK,39,68040444
493,15671,OK,27,68040444
494,0,OK,28,68040444
