query_number,results,status,time,mem[kB]
1,6,OK,186,9650960
2,21,OK,140,9714668
3,20,OK,113,9737424
4,39,OK,27,9741520
5,41,OK,7,9741520
6,40,OK,7,9741520
7,71,OK,229,9840220
8,7,OK,86,9856604
9,6,OK,75,9868892
10,44,OK,71,9891576
11,100000,OK,273,10092844
12,6,OK,81,10094892
13,6,OK,73,10094892
14,6,OK,42,10094892
15,6,OK,45,10096940
16,6,OK,47,10098988
17,6,OK,14,10098988
18,6,OK,46,10098988
19,6,OK,47,10098988
20,6,OK,34,10098988
21,8,OK,47,10098988
22,7,OK,43,10098988
23,5,OK,33,10101036
24,104,OK,154,10101260
25,9,OK,29,10101260
26,8,OK,41,10101260
27,4,OK,43,10101260
28,5,OK,64,10101260
29,5,OK,22,10101260
30,1,OK,6,10101260
31,6,OK,35,10101260
32,3,OK,47,10103308
33,5,OK,49,10103308
34,21,OK,53,10103308
35,9,OK,38,10103308
36,6,OK,43,10103308
37,6,OK,33,10103308
38,278,OK,1120,10111500
39,5,OK,60,10111500
40,6,OK,39,10111500
41,7,OK,16,10111500
42,5,OK,28,10111500
43,7,OK,55,10111500
44,7,OK,37,10111500
45,7,OK,50,10111500
46,7,OK,42,10113548
47,7,OK,45,10113548
48,7,OK,58,10113548
49,4,OK,69,10113548
50,4,OK,22,10113548
51,4,OK,56,10113548
52,4,OK,42,10113548
53,4,OK,19,10113548
54,4,OK,14,10113548
55,4,OK,40,10113548
56,4,OK,16,10113548
57,4,OK,23,10113548
58,21,OK,29,10113548
59,18,OK,6,10113548
60,21,OK,5,10113548
61,20,OK,5,10113548
62,100000,OK,2064,10129964
63,23,OK,1046,10167488
64,160,OK,126,10167488
65,6,OK,22,10167488
66,6,OK,6,10167488
67,100000,OK,1653,10176256
68,4,OK,77,10176256
69,4,OK,61,10176256
70,4,OK,55,10176256
71,2,OK,60,10176256
72,74692,OK,2746,10196764
73,40,OK,38,10196764
74,7,OK,57,10196764
75,6,OK,43,10196764
76,6,OK,43,10196764
77,6,OK,57,10196764
78,6,OK,73,10196764
79,5,OK,49,10196764
80,5,OK,22,10196764
81,0,OK,654,10208244
82,22,OK,40,10208244
83,5,OK,30,10208244
84,38,OK,62,10208244
85,7,OK,59,10208244
86,7,OK,6,10208244
87,5,OK,16,10208244
88,5,OK,5,10208244
89,7,OK,6,10208244
90,6,OK,25,10208244
91,1,OK,7,10208244
92,6,OK,70,10208244
93,34,OK,85,10208244
94,34,OK,6,10208244
95,24,OK,6,10208244
96,5,OK,24,10208244
97,1,OK,161,10208244
98,1,OK,8,10208244
99,4,OK,48,10208244
100,60,OK,33,10208244
101,18,OK,33,10208500
102,99834,OK,1483,10212388
103,5,OK,59,10212388
104,0,OK,63,10212388
105,0,OK,5,10212388
106,22,OK,32,10212388
107,5,OK,61,10212388
108,89,OK,18,10212388
109,5,OK,39,10212388
110,3,OK,28,10212388
111,6,OK,17,10212388
112,5,OK,33,10212388
113,5,OK,7,10212388
115,23837,OK,15451,10254176
116,100000,OK,2892,10283716
117,30,OK,41001,10733500
118,0,TIMEOUT,60000,11169944
119,100000,OK,850,11195808
120,100000,OK,423,11204120
121,100000,OK,2986,11240984
122,0,OK,24601,11277380
123,0,TIMEOUT,60000,11959652
124,100000,OK,510,11975352
125,29704,OK,1149,11977400
126,100000,OK,144,11991056
127,100000,OK,159,12005680
128,276,OK,201,12005680
129,100000,OK,5881,12028964
130,50292,OK,4227,12045252
131,100000,OK,1166,12047088
132,100000,OK,367,12058640
133,100000,OK,319,12060688
134,100000,OK,15991,12102244
135,100000,OK,1394,12145524
136,100000,OK,221,12156004
137,100000,OK,129,12169616
138,79909,OK,2063,12193388
139,25297,OK,1596,12199588
140,100000,OK,2672,12217268
141,100000,OK,324,12219316
142,100000,OK,599,12225460
143,39333,OK,758,12229556
144,100000,OK,991,12233652
145,6185,OK,793,12236748
146,42106,OK,1623,12240844
147,2277,OK,393,12242892
148,18813,OK,977,12246988
149,49558,OK,97,12246988
150,57877,OK,131,12249036
151,100000,OK,1865,12275660
152,100000,OK,119,12279024
153,100000,OK,1493,12280340
154,100000,OK,147,12291868
155,100000,OK,357,12298132
156,100000,OK,406,12307020
157,100000,OK,388,12319688
158,523,OK,550,12319688
159,260,OK,196,12321736
160,11733,OK,3107,12325832
161,100000,OK,2261,12331976
162,100000,OK,220,12336072
163,12121,OK,658,12336072
164,20,OK,23,12336072
165,10,OK,14,12336072
166,1653,OK,417,12338120
167,3,OK,42,12338120
168,100000,OK,219,12349388
169,100000,OK,5277,12357580
170,100000,OK,2013,12363724
171,24642,OK,535,12365772
172,46,OK,25,12365772
173,2086,OK,50,12365772
174,4287,OK,212,12365772
175,6,OK,36,12365772
176,20,OK,63,12365772
177,1,OK,5,12365772
178,5479,OK,79,12365772
179,15221,OK,1984,12369868
180,7,OK,6,12369868
181,11007,OK,57,12369868
182,100000,OK,161,12372168
183,100000,OK,162,12385732
184,100000,OK,276,12387780
185,100000,OK,116,12389880
186,100000,OK,200,12391992
187,25,OK,7,12391992
188,100000,OK,411,12391992
189,100000,OK,512,12391992
190,520,OK,9,12391992
191,100000,OK,147,12401760
192,7752,OK,22,12401760
193,100000,OK,112,12402024
194,64104,OK,320,12406144
195,100000,OK,121,12417756
196,100000,OK,304,12422180
197,100000,OK,349,12422180
198,13861,OK,33,12422180
199,9108,OK,70,12422180
200,100000,OK,9546,13171248
201,20,TIMEOUT,60000,13405216
202,100000,OK,398,13405216
203,100000,OK,7994,13772020
204,754,OK,57,13772020
205,100000,OK,152,13772020
206,100000,OK,284,13772020
207,100000,OK,255,13780988
208,129,TIMEOUT,60000,13811940
209,14547,OK,960,13813988
210,3028,OK,667,13816036
211,100000,OK,440,13822180
212,100000,OK,37075,13861092
213,170,TIMEOUT,60000,17918768
214,100000,OK,147,17930048
215,100000,OK,328,17932096
216,153,OK,68,17932096
217,100000,OK,150,17937572
218,100000,OK,196,17951160
219,44957,OK,675,17957304
220,100000,OK,140,17964628
221,100000,OK,165,17968724
222,0,OK,43,17968724
223,100000,OK,130,17968724
224,100000,OK,218,17970772
225,100000,OK,237,17974868
226,100000,OK,155,17987140
227,100000,OK,231,17989188
228,100000,OK,162,17989188
229,100000,OK,164,17991236
230,10636,OK,61,17993284
231,100000,OK,119,17993284
232,100000,OK,422,17993284
233,100000,OK,198,17995332
234,100000,OK,218,17995332
235,10702,OK,328,17995332
236,1583,OK,93,17995332
237,2143,OK,113,17995332
238,903,OK,10,17997380
239,1174,OK,44,17997380
240,23397,OK,752,17999428
241,40317,OK,1238,18001476
242,58779,OK,1536,18005572
243,100000,OK,621,17886948
244,3462,OK,154,17888996
245,2692,OK,103,17888996
246,100000,OK,587,17891044
247,82675,OK,853,17513076
248,31560,OK,521,17515124
249,100000,OK,261,17515124
250,100000,OK,389,17519448
251,6973,OK,147,17519448
252,267,OK,22,17519448
253,100000,OK,225,17519448
254,40625,OK,553,17521496
255,17210,OK,336,17521496
256,100000,OK,1059,17525592
257,100000,OK,809,17529688
258,328,OK,37,17529688
259,100000,OK,249,17531736
260,59301,OK,415,17533784
261,853,OK,39,17533784
262,791,OK,8,17533784
263,5480,OK,86,17533784
264,17863,OK,599,17535832
265,100000,OK,890,17537880
266,100000,OK,188,17538092
267,1994,OK,72,17538092
268,42,OK,6,17538092
269,1829,OK,10,17538092
270,415,OK,22,17538092
271,861,OK,27,17538092
272,570,OK,7,17538092
273,14545,OK,29,17538092
274,6039,OK,95,17540140
275,100000,OK,390,17542188
276,100000,OK,413,17544236
277,6183,OK,93,17544236
278,10724,OK,200,17544236
279,3665,OK,107,17544236
280,1514,OK,76,17544236
281,8922,OK,183,17546284
282,17740,OK,254,17546284
283,4910,OK,122,17548332
284,134,OK,7,17548332
285,9275,OK,150,17548332
286,21529,OK,268,17548332
287,2356,OK,54,17548332
288,24273,OK,56,17548332
289,3353,OK,42,17548332
290,100000,OK,227,17548332
291,58778,OK,191,17548332
292,6775,OK,21,17548332
293,7572,OK,147,17550380
294,3461,OK,13,17550380
295,31559,OK,72,17550380
296,100000,OK,264,17550380
297,1783,OK,11,17550380
298,12120,OK,24,17550380
299,8572,OK,123,17550380
300,90155,OK,425,17552428
301,12388,OK,116,17552428
302,100000,OK,193,17552428
303,1591,OK,9,17552428
304,100000,OK,857,17556524
305,24272,OK,54,17556524
306,51044,OK,271,17556524
307,47,OK,58479,18123820
308,100000,OK,138,18123820
309,42867,OK,408,18123820
310,90155,OK,200,18123820
311,100000,OK,214,18123820
312,59300,OK,152,18123820
313,100000,OK,559,18127916
314,100000,OK,818,18179892
315,100000,OK,846,18192180
316,2691,OK,12,18192180
317,100000,OK,178,18192180
318,8199,OK,218,18210064
319,100000,OK,1036,18224400
320,1,OK,43,18224400
321,100000,OK,314,18226448
322,100000,OK,906,18234640
323,132,OK,29,18234640
324,966,OK,47,18234640
325,100000,OK,2079,18248976
326,107,OK,36,18248976
327,316,OK,44,18248976
328,1051,OK,49,18248976
329,383,OK,10,18248976
330,116,OK,8,18248976
331,997,OK,31,18248976
332,206,OK,10,18248976
333,96,OK,8,18248976
334,100000,OK,1079,18257168
335,1142,OK,47,18257168
336,409,OK,9,18257168
337,268,OK,31,18257168
338,100000,OK,506,18257168
339,100000,OK,837,18226004
340,235,OK,11,18226004
341,100000,OK,1990,18230100
342,32178,OK,491,18232148
343,13630,OK,84,18234196
344,3183,OK,18,18234196
345,30912,OK,239,18234196
346,100000,OK,454,18234196
347,100000,OK,676,18272920
348,75,OK,7,18272920
349,100000,OK,532,18277016
350,100000,OK,108,18277016
351,100000,OK,106,18277016
352,100000,OK,163,18277016
353,100000,OK,102,18279064
354,100000,OK,107,18279064
355,100000,OK,118,18279064
356,100000,OK,227,18283160
357,100000,OK,159,18287552
358,100000,OK,250,18287552
359,201,OK,458,18289600
360,10089,OK,863,18296384
361,15467,OK,902,18302528
362,1710,OK,118,18302528
363,100000,OK,4319,18333248
364,100000,OK,342,18335296
365,53,OK,130,18337344
366,100000,OK,1052,18339392
367,642,OK,13,18339392
368,6135,OK,35,18339392
369,100000,OK,361,18339392
370,6250,OK,25,18339392
371,52820,OK,169,18339392
372,260,OK,7,18339392
373,100000,OK,301,18339392
374,807,OK,11,18339392
375,270,OK,23,18339392
376,925,OK,10,18339392
377,13,OK,19,18339392
378,59,OK,13,18339392
379,302,OK,7,18339392
380,100000,OK,264,18339392
381,319,OK,9,18339392
382,956,OK,21,18339392
383,59,OK,6,18339392
384,544,OK,7,18339392
385,1133,OK,9,18339392
386,422,OK,28,18339392
387,31220,OK,174,18339392
388,77661,OK,388,18339392
389,4181,OK,42,18339392
390,229,OK,7,18339392
391,4922,OK,21,18339392
392,100000,OK,298,18339392
393,138,OK,8,18339392
394,100000,OK,285,18339392
395,100000,OK,288,18339392
396,179,OK,9,18339392
397,7102,OK,25,18339392
398,3782,OK,16,18339392
399,37493,OK,144,18339392
400,10473,OK,40,18339392
401,501,OK,8,18339392
402,27,OK,18,18339392
403,14198,OK,52,18339392
404,2583,OK,15,18339392
