query_number,results,status,time,mem[kB]
1,6,OK,151,9646736
2,29,OK,143,9708408
3,25,OK,100,9733228
4,89,OK,25,9737324
5,91,OK,6,9737324
6,90,OK,6,9737324
7,251,OK,243,9866584
8,11,OK,86,9880920
9,6,OK,52,9891160
10,337,OK,98,9923928
11,100000,OK,225,10101400
12,6,OK,82,10101400
13,9,OK,82,10101400
14,6,OK,41,10103448
15,6,OK,39,10103448
16,6,OK,37,10103448
17,6,OK,28,10103448
18,6,OK,51,10103448
19,6,OK,55,10103448
20,6,OK,25,10103448
21,12,OK,47,10103448
22,7,OK,43,10103448
23,5,OK,34,10103448
24,18437,OK,323,10108296
25,9,OK,64,10108296
26,17,OK,41,10110344
27,4,OK,40,10110344
28,8,OK,73,10110344
29,5,OK,22,10110344
30,1,OK,6,10110344
31,9,OK,44,10110344
32,3,OK,46,10112392
33,5,OK,49,10112392
34,21,OK,44,10112392
35,9,OK,39,10112392
36,9,OK,52,10112392
37,6,OK,25,10112392
38,100000,OK,1336,10119184
39,5,OK,60,10119184
40,9,OK,51,10119184
41,7,OK,29,10119184
42,5,OK,16,10119184
43,7,OK,51,10119184
44,7,OK,88,10119184
45,7,OK,40,10119184
46,7,OK,17,10119184
47,7,OK,29,10119184
48,11,OK,58,10119184
49,4,OK,63,10119184
50,4,OK,19,10119184
51,4,OK,40,10119184
52,4,OK,42,10119184
53,4,OK,19,10119184
54,4,OK,13,10119184
55,4,OK,39,10119184
56,4,OK,25,10119184
57,4,OK,22,10119184
58,107,OK,37,10119184
59,282,OK,7,10119184
60,288,OK,7,10119184
61,286,OK,7,10119184
62,100000,OK,1827,10132108
63,0,TIMEOUT,60000,15646684
64,3926,OK,170,15648732
65,6,OK,35,15648732
66,6,OK,6,15648732
67,100000,OK,2062,15670160
68,4,OK,83,15670160
69,4,OK,61,15670160
70,4,OK,55,15670160
71,2,OK,51,15670160
72,100000,OK,2410,15686820
73,201,OK,42,15686820
74,10,OK,65,15686820
75,6,OK,44,15686820
76,6,OK,42,15686820
77,6,OK,48,15686820
78,6,OK,56,15686820
79,5,OK,49,15686820
80,5,OK,32,15686820
81,0,OK,658,15690916
82,35,OK,57,15690916
83,5,OK,30,15690916
84,125,OK,45,15690916
85,11,OK,42,15690916
86,11,OK,6,15690916
87,5,OK,16,15690916
88,5,OK,5,15690916
89,11,OK,6,15690916
90,10,OK,6,15690916
91,1,OK,19,15690916
92,6,OK,72,15690916
93,61,OK,69,15690916
94,61,OK,6,15690916
95,45,OK,6,15690916
96,8,OK,19,15690916
97,2,OK,173,15691176
98,2,OK,9,15691436
99,4,OK,53,15691436
100,213,OK,32,15691436
101,52,OK,32,15691436
102,100000,OK,1445,15698224
103,5,OK,58,15698224
104,0,OK,61,15698224
105,0,OK,6,15698224
106,35,OK,22,15698224
107,8,OK,60,15698224
108,630,OK,21,15698224
109,5,OK,26,15698224
110,3,OK,36,15698224
111,6,OK,25,15698224
112,5,OK,34,15698224
113,5,OK,7,15698224
115,100000,OK,14558,15742072
116,100000,OK,2796,15767300
117,0,OK,45856,16080464
118,0,TIMEOUT,60000,20098980
119,100000,OK,836,20123556
120,100000,OK,367,20128436
121,100000,OK,3404,20168736
122,0,OK,25215,20205836
