query_number,results,status,time,mem[kB]
1,6,OK,160,9646156
2,29,OK,134,9709804
3,25,OK,103,9738476
4,89,OK,10,9744620
5,91,OK,7,9744620
6,90,OK,6,9744620
7,251,OK,241,9859356
8,11,OK,92,9875740
9,6,OK,70,9885980
10,337,OK,66,9916700
11,100000,OK,248,10096960
12,6,OK,84,10096960
13,9,OK,66,10096960
14,6,OK,42,10099008
15,6,OK,43,10099008
16,6,OK,56,10099008
17,6,OK,14,10099008
18,6,OK,45,10099008
19,6,OK,54,10099008
20,6,OK,24,10099008
21,12,OK,38,10099008
22,7,OK,43,10101056
23,5,OK,41,10101056
24,18437,OK,377,10101056
25,9,OK,43,10101056
26,17,OK,39,10103104
27,4,OK,32,10103104
28,8,OK,74,10103104
29,5,OK,7,10103104
30,1,OK,6,10103104
31,9,OK,49,10103104
32,3,OK,47,10105152
33,5,OK,40,10105152
34,21,OK,53,10105152
35,9,OK,37,10105152
36,9,OK,35,10105152
37,6,OK,23,10105152
38,100000,OK,2984,10105152
39,5,OK,57,10105152
40,9,OK,50,10105152
41,7,OK,21,10105152
42,5,OK,16,10105152
43,7,OK,59,10105152
44,7,OK,62,10105152
45,7,OK,42,10105152
46,7,OK,11,10105152
47,7,OK,30,10105152
48,11,OK,58,10105152
49,4,OK,50,10105152
50,4,OK,14,10105152
51,4,OK,42,10105152
52,4,OK,41,10105152
53,4,OK,10,10105152
54,4,OK,15,10105152
55,4,OK,40,10105152
56,4,OK,24,10105152
57,4,OK,23,10105152
58,107,OK,19,10105152
59,282,OK,7,10105152
60,288,OK,6,10105152
61,286,OK,7,10105152
62,100000,OK,3859,10130092
63,879,TIMEOUT,60000,10146932
64,3926,OK,219,10148980
65,6,OK,24,10148980
66,6,OK,6,10148980
67,,PROCESS TIMEOUT(Exception),60000,
68,4,OK,353,9635112
69,4,OK,60,9649448
70,4,OK,74,9667880
71,2,OK,56,9682216
72,100000,OK,3255,10082736
73,201,OK,50,10088880
74,10,OK,48,10088880
75,6,OK,35,10088880
76,6,OK,48,10088880
77,6,OK,42,10088880
78,6,OK,48,10088880
79,5,OK,40,10088880
80,5,OK,32,10088880
81,0,OK,693,10107312
82,35,OK,55,10107312
83,5,OK,23,10107312
84,125,OK,49,10107312
85,11,OK,31,10107312
86,11,OK,8,10107312
