query_number,results,status,time,mem[kB]
1,6,OK,162,9651200
2,20,OK,138,9714924
3,11,OK,98,9735648
4,16,OK,10,9741792
5,18,OK,6,9741792
6,17,OK,6,9741792
7,63,OK,237,9842548
8,7,OK,94,9859168
9,6,OK,46,9871696
10,42,OK,88,9896508
11,100000,OK,257,10103244
12,6,OK,81,10103244
13,6,OK,65,10103244
14,6,OK,38,10103244
15,6,OK,37,10103244
16,6,OK,39,10105292
17,6,OK,27,10107340
18,6,OK,57,10109388
19,6,OK,46,10109388
20,6,OK,33,10109388
21,7,OK,46,10109388
22,7,OK,48,10109388
23,5,OK,38,10109388
24,36,OK,154,10110104
25,7,OK,37,10110104
26,8,OK,48,10110104
27,4,OK,40,10110104
28,5,OK,74,10110104
29,5,OK,21,10110104
30,1,OK,7,10110104
31,6,OK,50,10110104
32,3,OK,47,10112152
33,5,OK,39,10112152
34,9,OK,44,10112152
35,6,OK,37,10112152
36,6,OK,34,10112152
37,6,OK,23,10112152
38,237,TIMEOUT,60000,14224784
39,5,OK,63,14224784
40,6,OK,71,14224784
41,7,OK,15,14224784
42,5,OK,28,14224784
43,7,OK,54,14224784
44,7,OK,72,14224784
45,7,OK,57,14224784
46,7,OK,18,14226832
47,7,OK,37,14226832
48,7,OK,50,14226832
49,4,OK,59,14226832
50,4,OK,13,14226832
51,4,OK,40,14226832
52,4,OK,50,14226832
53,4,OK,10,14226832
54,4,OK,13,14226832
55,4,OK,39,14226832
56,4,OK,16,14226832
57,4,OK,21,14226832
58,20,OK,36,14226832
59,16,OK,6,14226832
60,20,OK,5,14226832
61,19,OK,6,14226832
62,56574,TIMEOUT,60000,19356936
63,0,TIMEOUT,60000,25109880
64,113,OK,200,25109880
65,6,OK,25,25109880
66,6,OK,6,25109880
67,100000,OK,20407,31077940
68,4,OK,74,31077940
69,4,OK,54,31077940
70,4,OK,55,31077940
71,2,OK,61,31077940
72,22056,TIMEOUT,60000,34823592
73,30,OK,24,34823592
74,7,OK,49,34823592
75,6,OK,42,34823592
76,6,OK,42,34823592
77,6,OK,56,34823592
78,6,OK,73,34823592
79,5,OK,46,34823592
80,5,OK,20,34823592
81,0,OK,680,34832160
82,18,OK,40,34832160
83,5,OK,30,34832160
84,22,OK,54,34832160
85,7,OK,27,34832160
86,7,OK,6,34832160
87,5,OK,19,34832160
88,5,OK,5,34832160
89,7,OK,5,34832160
90,6,OK,21,34832160
91,1,OK,23,34832160
92,6,OK,56,34832160
93,30,OK,78,34832160
94,30,OK,6,34832160
95,20,OK,5,34832160
96,5,OK,21,34832160
97,1,OK,92,34832160
98,1,OK,6,34832160
99,4,OK,53,34832160
100,46,OK,26,34832160
101,18,OK,36,34832160
102,16733,TIMEOUT,60000,39683204
103,5,OK,42,39683204
104,0,OK,75,39683204
105,0,OK,5,39683204
106,18,OK,26,39683204
107,5,OK,84,39683204
108,71,OK,25,39683204
109,5,OK,33,39683204
110,3,OK,36,39683204
111,6,OK,6,39683204
112,5,OK,28,39685252
113,5,OK,7,39685252
115,23050,OK,16190,39730948
116,100000,OK,3335,39472572
117,0,OK,46277,39950004
118,0,TIMEOUT,60000,44114372
119,100000,OK,6763,44210628
120,100000,OK,373,44219532
121,100000,OK,3263,44258444
122,0,OK,25611,44295472
123,2,TIMEOUT,60000,54698916
124,100000,OK,440,54707032
125,27850,OK,1218,54711712
126,100000,OK,107,54713896
127,100000,OK,148,54724580
128,276,OK,207,54724580
129,100000,OK,6055,54747108
130,48992,OK,4138,54760488
131,10980,TIMEOUT,60000,54760488
132,100000,OK,226,54754588
133,100000,OK,244,54760856
134,100000,OK,16525,54802416
135,100000,OK,1320,54839280
136,100000,OK,237,54847392
137,100000,OK,136,54858468
138,79869,OK,2201,54887224
139,24856,OK,1850,54891320
140,100000,OK,2732,54899512
141,100000,OK,283,54908152
142,100000,OK,598,54914296
143,39251,OK,668,54918392
144,100000,OK,1050,54924856
145,5554,OK,768,54924856
146,41600,OK,1699,54931000
147,2095,OK,394,54933048
148,18793,OK,978,54937144
149,43405,OK,100,54937144
150,50972,OK,165,54939192
151,100000,OK,1747,54965816
152,100000,OK,125,54965816
153,10877,TIMEOUT,60000,54703404
154,100000,OK,115,54631096
155,100000,OK,419,54636636
156,100000,OK,282,54638684
157,100000,OK,283,54638684
158,459,OK,575,54638684
159,239,OK,179,54638684
160,10666,OK,2841,54644828
161,100000,OK,2297,54650972
162,100000,OK,180,54655068
163,12107,OK,580,54655068
164,20,OK,44,54655068
165,9,OK,18,54655068
166,1507,OK,496,52989904
167,3,OK,23,52989904
168,100000,OK,234,52998808
169,100000,OK,7166,53013448
170,100000,OK,1717,53017544
171,23347,OK,510,53019592
172,46,OK,23,53019592
173,2064,OK,34,53019592
174,4200,OK,152,53019592
175,6,OK,31,53019592
176,19,OK,35,53019592
177,1,OK,6,53019592
178,5477,OK,72,53019592
179,12922,OK,1592,53023688
180,7,OK,7,53023688
181,10713,OK,38,53023688
182,100000,OK,105,53023688
183,100000,OK,115,53023688
184,100000,OK,188,53030548
185,100000,OK,94,53030548
186,100000,OK,191,53030548
187,25,OK,7,53030548
188,100000,OK,938,53030548
189,99649,OK,465,53030548
190,518,OK,16,52916484
191,100000,OK,100,52916484
192,7128,OK,21,52916484
193,100000,OK,92,52916484
194,61755,OK,278,52921232
195,100000,OK,96,52921232
196,100000,OK,210,52927824
197,100000,OK,367,52927824
198,13656,OK,32,52927824
199,9107,OK,51,52928612
200,100000,OK,3665,53333976
201,0,TIMEOUT,60000,53566700
202,100000,OK,397,53566700
203,100000,OK,3597,53980448
204,754,OK,62,53980448
205,100000,OK,151,53980448
206,100000,OK,249,53982560
