query_number,results,status,time,mem[kB]
1,6,OK,165,9649356
2,20,OK,133,9713004
3,11,OK,128,9733484
4,16,OK,9,9737580
5,18,OK,6,9737580
6,17,OK,6,9737580
7,63,OK,235,9842368
8,7,OK,89,9858752
9,6,OK,70,9871040
10,42,OK,66,9903808
11,100000,OK,255,10086516
12,6,OK,78,10088564
13,6,OK,66,10088564
14,6,OK,44,10088564
15,6,OK,37,10090612
16,6,OK,46,10094708
17,6,OK,13,10094708
18,6,OK,47,10094708
19,6,OK,54,10094708
20,6,OK,26,10094708
21,7,OK,39,10094708
22,7,OK,43,10094708
23,5,OK,35,10096756
24,36,OK,165,10096756
25,7,OK,26,10096756
26,8,OK,40,10096756
27,4,OK,41,10096756
28,5,OK,72,10096756
29,5,OK,7,10096756
30,1,OK,7,10096756
31,6,OK,49,10096756
32,3,OK,48,10098804
33,5,OK,49,10098804
34,9,OK,45,10098804
35,6,OK,39,10098804
36,6,OK,44,10098804
37,6,OK,25,10098804
38,82,TIMEOUT,60000,10104084
39,5,OK,29,10104084
40,6,OK,50,10104084
41,7,OK,14,10104084
42,5,OK,16,10104084
43,7,OK,50,10104084
44,7,OK,39,10104084
45,7,OK,50,10104084
46,7,OK,19,10104084
47,7,OK,30,10104084
48,7,OK,75,10104084
49,4,OK,59,10104084
50,4,OK,14,10104084
51,4,OK,42,10104084
52,4,OK,42,10104084
53,4,OK,20,10104084
54,4,OK,14,10104084
55,4,OK,40,10104084
56,4,OK,9,10104084
57,4,OK,22,10104084
58,20,OK,20,10104084
59,16,OK,6,10104084
60,20,OK,6,10104084
61,19,OK,6,10104084
62,100000,OK,4945,10139072
63,1,OK,46,10139072
64,113,OK,172,10141120
65,6,OK,29,10141120
66,6,OK,7,10141120
67,,PROCESS TIMEOUT(Exception),60000,
68,4,OK,352,9643024
69,4,OK,68,9657360
70,4,OK,82,9677840
71,2,OK,60,9692176
72,7154,TIMEOUT,60000,10116360
73,30,OK,24,10116360
74,7,OK,40,10116360
75,6,OK,35,10116360
76,6,OK,52,10118408
77,6,OK,56,10120456
78,6,OK,48,10120456
79,5,OK,48,10120456
80,5,OK,31,10120456
81,0,OK,665,10122504
82,18,OK,50,10122504
83,5,OK,30,10122504
84,22,OK,57,10124552
85,7,OK,31,10124552
86,7,OK,7,10124552
87,5,OK,23,10124552
88,5,OK,6,10124552
89,7,OK,6,10124552
90,6,OK,19,10124552
91,1,OK,6,10124552
92,6,OK,71,10124552
93,30,OK,68,10124552
94,30,OK,6,10124552
95,20,OK,5,10124552
96,5,OK,18,10124552
97,1,OK,106,10126600
98,1,OK,7,10126600
99,4,OK,48,10126600
100,46,OK,31,10126600
101,18,OK,71,10126600
102,4266,TIMEOUT,60000,10126820
103,5,OK,43,10126820
104,0,OK,88,10126820
105,0,OK,6,10126820
106,18,OK,22,10126820
107,5,OK,60,10126820
108,71,OK,9,10126820
109,5,OK,32,10126820
110,3,OK,56,10126820
111,6,OK,23,10126820
112,5,OK,42,10126820
113,5,OK,6,10126820
115,23050,OK,23527,10169532
116,100000,OK,4517,10198400
117,0,OK,49958,10640932
118,0,TIMEOUT,60000,11767684
119,100000,OK,7261,11864168
120,100000,OK,3293,11874720
121,100000,OK,3191,11929152
122,0,OK,28515,11929328
123,2,TIMEOUT,60000,13721788
124,100000,OK,2356,13732084
125,27850,OK,363,13733136
126,100000,OK,962,13741380
127,100000,OK,162,13747844
128,276,OK,189,13747844
129,100000,OK,5939,13770372
130,48992,OK,4034,13781648
131,4624,TIMEOUT,60000,13781648
132,100000,OK,807,13784020
133,100000,OK,640,13786128
134,100000,OK,15601,13827356
135,100000,OK,1300,13866544
136,100000,OK,229,13873128
137,100000,OK,5007,13887508
138,79869,OK,4538,13901100
139,24856,OK,1537,13903148
140,100000,OK,6790,13923536
141,100000,OK,367,13926904
142,100000,OK,504,13933308
143,39251,OK,677,13937664
144,100000,OK,1034,13943868
145,5554,OK,722,13943868
146,41600,OK,1814,13951056
147,2095,OK,373,13951056
