query_number,results,status,time,mem[kB]
1,6,OK,154,9646696
2,20,OK,143,9710348
3,11,OK,99,9732876
4,16,OK,9,9736972
5,18,OK,6,9736972
6,17,OK,6,9736972
7,63,OK,233,9843816
8,7,OK,78,9858152
9,6,OK,56,9870440
10,42,OK,69,9903572
11,100000,OK,249,10097296
12,6,OK,68,10099344
13,6,OK,75,10099344
14,6,OK,43,10099344
15,6,OK,54,10101392
16,6,OK,37,10105488
17,6,OK,27,10105488
18,6,OK,49,10105488
19,6,OK,48,10105488
20,6,OK,25,10105488
21,7,OK,46,10105488
22,7,OK,43,10105488
23,5,OK,41,10105488
24,36,OK,162,10105488
25,7,OK,38,10105488
26,8,OK,41,10105488
27,4,OK,41,10105488
28,5,OK,73,10105488
29,5,OK,7,10105488
30,1,OK,6,10105488
31,6,OK,58,10105488
32,3,OK,47,10107536
33,5,OK,48,10107536
34,9,OK,53,10107536
35,6,OK,38,10107536
36,6,OK,43,10107536
37,6,OK,32,10107536
38,237,OK,1084,10109584
39,5,OK,38,10109584
40,6,OK,67,10109584
41,7,OK,21,10109584
42,5,OK,27,10109584
43,7,OK,46,10109584
44,7,OK,54,10109584
45,7,OK,48,10109584
46,7,OK,18,10109584
47,7,OK,38,10109584
48,7,OK,50,10109584
49,4,OK,100,10109584
50,4,OK,21,10109584
51,4,OK,49,10111632
52,4,OK,42,10111632
53,4,OK,10,10111632
54,4,OK,13,10111632
55,4,OK,40,10111632
56,4,OK,16,10111632
57,4,OK,23,10111632
58,20,OK,36,10111632
59,16,OK,6,10111632
60,20,OK,5,10111632
61,19,OK,6,10111632
62,100000,OK,3192,10148824
63,1,OK,319,10158684
64,113,OK,136,10158684
65,6,OK,8,10158684
66,6,OK,6,10158684
67,100000,OK,4496,10248808
68,4,OK,73,10248808
69,4,OK,54,10248808
70,4,OK,46,10248808
71,2,OK,53,10248808
72,22336,OK,1717,10268240
73,30,OK,35,10268240
74,7,OK,66,10268240
75,6,OK,44,10268240
76,6,OK,50,10268240
77,6,OK,55,10268240
78,6,OK,57,10268240
79,5,OK,54,10268240
80,5,OK,20,10268240
81,0,OK,681,10274748
82,18,OK,40,10274748
83,5,OK,31,10276796
84,22,OK,61,10276796
85,7,OK,35,10276796
86,7,OK,7,10276796
87,5,OK,24,10276796
88,5,OK,6,10276796
89,7,OK,5,10276796
90,6,OK,18,10276796
91,1,OK,6,10276796
92,6,OK,63,10276796
93,30,OK,77,10276796
94,30,OK,6,10276796
95,20,OK,5,10276796
96,5,OK,26,10276796
97,1,OK,100,10276796
98,1,OK,7,10276796
99,4,OK,51,10276796
100,46,OK,35,10276796
101,18,OK,38,10276796
102,17700,OK,584,10277848
103,5,OK,46,10277848
104,0,OK,63,10277848
105,0,OK,6,10277848
106,18,OK,29,10277848
107,5,OK,62,10277848
108,71,OK,23,10277848
109,5,OK,26,10277848
110,3,OK,44,10277848
111,6,OK,7,10277848
112,5,OK,27,10277848
113,5,OK,6,10277848
115,23050,OK,15299,10321628
116,100000,OK,3444,10351172
117,30,OK,40676,10800788
118,0,TIMEOUT,60000,11166996
119,100000,OK,6687,11265524
120,100000,OK,409,11273900
121,100000,OK,3104,11311740
122,0,OK,23676,11311932
123,0,TIMEOUT,60000,11741652
124,100000,OK,466,11752076
125,27850,OK,1180,11757024
126,100000,OK,150,11760384
127,100000,OK,155,11764480
128,276,OK,224,11764480
129,100000,OK,6223,11787472
130,48992,OK,4303,11797712
131,100000,OK,1624,11797712
132,100000,OK,367,11806088
133,100000,OK,371,11812420
134,100000,OK,15999,11855224
135,100000,OK,1331,11894876
136,100000,OK,221,11901668
137,100000,OK,136,11906528
138,79869,OK,2080,11922912
139,24856,OK,1914,11928296
140,100000,OK,2867,11852624
141,100000,OK,386,11859676
142,100000,OK,513,11865820
143,39251,OK,709,11869916
144,100000,OK,978,11874012
145,5554,OK,772,11874012
146,41600,OK,1580,11882520
147,2095,OK,476,11884568
148,18793,OK,1185,11886616
149,43405,OK,104,11891036
150,50972,OK,121,11893084
151,100000,OK,1880,11922016
152,100000,OK,128,11922016
153,100000,OK,1947,11928160
154,100000,OK,158,11932256
155,100000,OK,377,11933572
156,100000,OK,361,11935620
157,100000,OK,411,11945308
158,459,OK,557,11945308
159,239,OK,178,11945308
160,10666,OK,3087,11951452
161,100000,OK,2409,11961540
162,100000,OK,194,11965636
163,12107,OK,653,11965636
164,20,OK,43,11965636
165,9,OK,17,11965636
166,1507,OK,462,11967684
167,3,OK,22,11967684
168,100000,OK,208,11972544
169,100000,OK,7254,11989820
170,100000,OK,1863,11993916
171,23347,OK,559,11995964
172,46,OK,24,11995964
173,2064,OK,40,11995964
174,4200,OK,185,11995964
175,6,OK,24,11995964
176,19,OK,31,11995964
177,1,OK,6,11995964
178,5477,OK,90,11995964
179,12922,OK,1700,12000060
180,7,OK,6,12000060
181,10713,OK,70,12000060
182,100000,OK,131,12005800
183,100000,OK,158,12011204
184,100000,OK,281,12015096
185,100000,OK,124,12016928
186,100000,OK,189,12017980
187,25,OK,7,12017980
188,100000,OK,414,12017980
189,99649,OK,590,12019812
190,518,OK,10,12019812
191,100000,OK,142,12026144
192,7128,OK,20,12026144
193,100000,OK,107,12027728
194,61755,OK,295,12032932
195,100000,OK,108,12032932
196,100000,OK,266,12040256
197,100000,OK,330,12040256
198,13656,OK,32,12040256
199,9107,OK,45,12040256
200,100000,OK,8857,12509504
201,20,TIMEOUT,60000,12724544
202,100000,OK,385,12724544
203,100000,OK,7251,12954572
204,754,OK,56,12954572
205,100000,OK,145,12954572
206,100000,OK,271,12958532
207,100000,OK,252,12961632
208,96,TIMEOUT,60000,12990304
209,14545,OK,821,12992352
210,1153,OK,524,12994400
211,100000,OK,448,13002592
212,92521,TIMEOUT,60000,13061984
213,144,TIMEOUT,60000,15343024
214,100000,OK,157,15348492
215,100000,OK,344,15348492
216,153,OK,89,15350540
217,100000,OK,127,15352588
218,100000,OK,183,15356684
219,44946,OK,703,15363088
220,100000,OK,143,15366980
221,100000,OK,159,15371308
222,0,OK,38,15371308
223,100000,OK,131,15371308
224,100000,OK,218,15373356
225,100000,OK,165,15377452
226,100000,OK,146,15379500
227,100000,OK,286,15383596
228,100000,OK,163,15383596
229,100000,OK,177,15385644
230,10634,OK,31,15385644
231,100000,OK,110,15390656
232,100000,OK,400,15390656
233,100000,OK,206,15400484
234,100000,OK,215,15400484
235,10651,OK,291,15400484
236,1583,OK,84,15400484
237,2137,OK,152,15400484
238,903,OK,10,15400484
239,1174,OK,63,15400484
240,23043,OK,713,15402532
241,38974,OK,1238,15404580
242,57427,OK,1347,15408676
243,100000,OK,585,15412772
244,3079,OK,123,15412772
245,2692,OK,94,15412772
246,100000,OK,660,15414820
247,63946,OK,756,15420556
248,31198,OK,443,15422604
249,100000,OK,242,15422604
250,100000,OK,339,15426700
251,6971,OK,123,15426700
252,267,OK,34,15426700
253,100000,OK,194,15426700
254,40411,OK,422,15428748
255,16737,OK,290,15428748
256,100000,OK,999,15432844
257,100000,OK,715,15434892
258,328,OK,39,15434892
259,100000,OK,311,15438988
260,57782,OK,379,15441036
261,853,OK,31,15441036
262,791,OK,7,15441036
263,5457,OK,79,15441036
264,17017,OK,562,15404208
265,100000,OK,1038,15406256
266,100000,OK,164,15406256
267,1984,OK,52,15406256
268,42,OK,6,15406256
269,1827,OK,10,15406256
270,415,OK,23,15406256
271,861,OK,28,15406256
