query_number,results,status,time,mem[kB]
1,6,OK,155,9650660
2,20,OK,149,9712260
3,11,OK,103,9734788
4,16,OK,9,9740932
5,18,OK,6,9740932
6,17,OK,7,9740932
7,63,OK,223,9835496
8,7,OK,89,9851880
9,6,OK,58,9864168
10,42,OK,59,9886696
11,100000,OK,281,10092276
12,6,OK,80,10094324
13,6,OK,65,10094324
14,6,OK,39,10094324
15,6,OK,38,10096372
16,6,OK,38,10098420
17,6,OK,35,10098420
18,6,OK,49,10100468
19,6,OK,46,10100468
20,6,OK,33,10100468
21,7,OK,47,10100468
22,7,OK,46,10100468
23,5,OK,38,10100468
24,36,OK,155,10100468
25,7,OK,36,10100468
26,8,OK,39,10100468
27,4,OK,49,10100468
28,5,OK,73,10100468
29,5,OK,7,10100468
30,1,OK,6,10100468
31,6,OK,51,10100468
32,3,OK,54,10102516
33,5,OK,40,10102516
34,9,OK,44,10102516
35,6,OK,38,10102516
36,6,OK,34,10102516
37,6,OK,33,10102516
38,237,OK,1059,10106612
39,5,OK,62,10106612
40,6,OK,72,10106612
41,7,OK,14,10106612
42,5,OK,28,10106612
43,7,OK,47,10106612
44,7,OK,37,10106612
45,7,OK,50,10106612
46,7,OK,27,10108660
47,7,OK,54,10108660
48,7,OK,74,10108660
49,4,OK,55,10108660
50,4,OK,17,10108660
51,4,OK,41,10108660
52,4,OK,49,10108660
53,4,OK,44,10108660
54,4,OK,23,10108660
55,4,OK,40,10108660
56,4,OK,16,10108660
57,4,OK,22,10108660
58,20,OK,46,10108660
59,16,OK,6,10108660
60,20,OK,5,10108660
61,19,OK,5,10108660
62,100000,OK,3782,10142736
63,1,OK,28,10143788
64,113,OK,129,10143788
65,6,OK,37,10143788
66,6,OK,19,10143788
67,,PROCESS TIMEOUT(Exception),60000,
68,4,OK,477,9639904
69,4,OK,60,9652192
70,4,OK,64,9670624
71,2,OK,82,9684960
72,22336,OK,1857,10119924
73,30,OK,51,10119924
74,7,OK,57,10119924
75,6,OK,35,10119924
76,6,OK,40,10119924
77,6,OK,58,10119924
78,6,OK,48,10119924
79,5,OK,49,10119924
80,5,OK,31,10119924
81,0,OK,700,10126228
82,18,OK,41,10126228
83,5,OK,29,10126228
84,22,OK,57,10126228
85,7,OK,31,10126228
86,7,OK,6,10126228
87,5,OK,26,10126228
88,5,OK,5,10126228
89,7,OK,5,10126228
90,6,OK,28,10126228
91,1,OK,22,10126228
92,6,OK,57,10126228
93,30,OK,77,10126228
94,30,OK,6,10126228
95,20,OK,5,10126228
96,5,OK,18,10126228
97,1,OK,98,10126228
98,1,OK,6,10126228
99,4,OK,49,10126228
100,46,OK,31,10126228
101,18,OK,70,10128276
102,17700,OK,624,10129328
103,5,OK,22,10129328
104,0,OK,87,10129328
105,0,OK,6,10129328
106,18,OK,22,10129328
107,5,OK,85,10129328
108,71,OK,7,10129328
109,5,OK,33,10129328
110,3,OK,44,10129328
111,6,OK,17,10129328
112,5,OK,34,10129328
113,5,OK,6,10129328
115,23050,OK,23640,10170604
116,100000,OK,3897,10202696
117,0,OK,44602,10645736
118,0,TIMEOUT,60000,10920856
119,100000,OK,7014,11019384
120,100000,OK,3253,11033628
121,100000,OK,3202,11086016
122,0,OK,26127,11086192
123,0,TIMEOUT,60000,11338272
124,100000,OK,2524,11355088
